iter	Passed	Remaining
152	65249	147983
153	66625	149690
154	67161	149489
155	67670	149222
156	68098	148775
157	68624	148542
158	69151	148306
159	69719	148153
160	70233	147883
161	70679	147466
162	71197	147199
163	71594	146680
164	72060	146304
165	72438	145750
166	72858	145280
167	73216	144689
168	73591	144134
169	73949	143549
170	74317	142985
171	74752	142550
172	75118	141986
173	75533	141516
174	75851	140867
175	76214	140303
176	76534	139664
177	76923	139154
178	77284	138594
179	77714	138159
180	78154	137742
181	78553	137253
182	79007	136860
183	79517	136562
184	79908	136060
185	80435	135789
186	81317	136109
187	81769	135702
188	82173	135216
189	82602	134771
190	83005	134286
191	83431	133837
192	83901	133460
193	84906	133924
194	85376	133537
195	85934	133285
196	86357	132823
197	86838	132451
198	87338	132105
199	87753	131630
200	88043	130970
201	88356	130347
202	88596	129620
203	88913	129012
204	89241	128420
205	89683	127995
206	90136	127584
207	90423	126940
208	90734	126333
209	90975	125632
210	91379	125159
211	91727	124611
212	92091	124085
213	92478	123592
214	92835	123060
215	93205	122548
216	93541	121991
217	93912	121482
218	94302	121000
219	94825	120686
220	95690	120803
221	96046	120274
222	96437	119789
223	96884	119376
224	97253	118864
225	97581	118307
226	97988	117845
227	98361	117343
228	98741	116850
229	99165	116412
230	99575	115955
231	100086	115617
232	100644	115331
233	101073	114895
234	101546	114509
235	102072	114182
236	102569	113821
237	103130	113530
238	103707	113253
239	104717	113443
240	105083	112931
241	105518	112495
242	105990	112096
243	106454	111690
244	106913	111277
245	107305	110795
246	107678	110294
247	108119	109863
248	108504	109375
249	108883	108883
250	109290	108419
251	109678	107937
252	110070	107460
253	110479	107000
254	110830	106484
255	111205	105993
256	111536	105460
257	111917	104977
258	112325	104518
259	112682	104014
260	113021	103495
261	113462	103068
262	113830	102577
263	114193	102081
264	114579	101608
265	114958	101128
266	115332	100645
267	115694	100153
268	116028	99638
269	116494	99235
270	116987	98856
271	117430	98434
272	117968	98091
273	118688	97895
274	119326	97631
275	119921	97327
276	120816	97263
277	121265	96837
278	121746	96436
279	122683	96393
280	123197	96015
281	123627	95569
282	124069	95134
283	124517	94703
284	124939	94252
285	125421	93846
286	125948	93474
287	126328	92992
288	126731	92527
289	127088	92029
290	127397	91498
291	127831	91057
292	128175	90553
293	128531	90059
294	128914	89584
295	129318	89124
296	129997	88853
297	130401	88393
298	130880	87983
299	131228	87485
300	131677	87055
301	132072	86590
302	132494	86143
303	132861	85660
304	133205	85164
305	133543	84664
306	133928	84196
307	134380	83769
308	134718	83272
309	135076	82788
310	135638	82429
311	135982	81938
312	136363	81469
313	136701	80975
314	137085	80510
315	138117	80422
316	138632	80030
317	139108	79615
318	139616	79218
319	140077	78793
320	140444	78316
321	140787	77826
322	141289	77424
323	141680	76962
324	142111	76521
325	142689	76159
326	143415	75874
327	143487	75243
328	143903	74794
329	144281	74326
330	144688	73874
331	145099	73423
332	145448	72942
333	145796	72461
334	146199	72008
335	146604	71556
336	146964	71083
337	147352	70624
338	147772	70181
339	148157	69721
340	148540	69260
341	148930	68804
342	149294	68335
343	149606	67844
344	150160	67463
345	150721	67084
346	151221	66676
347	151574	66205
348	151943	65740
349	152333	65285
350	152748	64841
351	153200	64413
352	153646	63983
353	154082	63548
354	154521	63114
355	154950	62676
356	155336	62221
357	155762	61782
358	156169	61336
359	156611	60904
360	157010	60455
361	157481	60034
362	157966	59618
363	158384	59176
364	158831	58746
365	159286	58317
366	159812	57915
367	160237	57476
368	160544	56995
369	160910	56536
370	161379	56113
371	161816	55678
372	162554	55347
373	163321	55022
374	163801	54600
375	164419	54223
376	164896	53799
377	165380	53376
378	165810	52936
379	166174	52476
380	166593	52033
381	166931	51565
382	167262	51095
383	167625	50636
384	167988	50178
385	168335	49715
386	168737	49269
387	169098	48811
388	169447	48351
389	169812	47895
390	170234	47456
391	170617	47006
392	171007	46559
393	171406	46114
394	171786	45664
395	172148	45210
396	172299	44702
397	172675	44253
398	173034	43800
399	173423	43355
400	173733	42891
401	174259	42481
402	174678	42044
403	175222	41636
404	175721	41218
405	176179	40790
406	176718	40380
407	177152	39946
408	177720	39541
409	178220	39121
410	178734	38704
411	179184	38272
412	179676	37849
413	180211	37435
414	180667	37004
415	181193	36587
416	181641	36154
417	182138	35730
418	182533	35287
419	182972	34851
420	183433	34420
421	183879	33987
422	184405	33567
423	184796	33123
424	185323	32704
425	185689	32255
426	186042	31805
427	186377	31353
428	186710	30900
429	187020	30445
430	187345	29992
431	187683	29542
432	188002	29090
433	188350	28643
434	188712	28198
435	189071	27753
436	189409	27306
437	189741	26858
438	190088	26413
439	190406	25964
440	190689	25511
441	190974	25059
442	191258	24608
443	191524	24156
444	191811	23707
445	192145	23264
446	192451	22818
447	192709	22368
448	193031	21925
449	193285	21476
450	193638	21038
451	194030	20605
452	194401	20169
453	194692	19726
454	195003	19286
455	195148	18830
456	195489	18393
457	195893	17964
458	196200	17525
459	196597	17095
460	196922	16659
461	197257	16224
462	197584	15789
463	197891	15353
464	198159	14915
465	198466	14480
466	198752	14044
467	199075	13611
468	199328	13175
469	199629	12742
470	199941	12310
471	200235	11878
472	200535	11447
473	200859	11017
474	201151	10586
475	201465	10157
476	201740	9727
477	202052	9299
478	202326	8870
479	202584	8441
480	202911	8015
481	203171	7587
482	203436	7160
483	203709	6734
484	203980	6308
485	204242	5883
486	204296	5453
487	204581	5030
488	204867	4608
489	205155	4186
490	205459	3766
491	205746	3345
492	206009	2925
493	206297	2505
494	206593	2086
495	206853	1668
496	207100	1250
497	207373	832
498	207692	416
499	207975	0
