iter	AUC	CrossEntropy	AUC
63	0.9489567809	0.6572978153	0.9489567809
64	0.9488302449	0.6567178018	0.9488302449
65	0.9495543121	0.6561278026	0.9495543121
66	0.9494172314	0.6554835832	0.9494172314
67	0.9498636223	0.6549442147	0.9498636223
68	0.949557827	0.6545930043	0.949557827
69	0.9494664398	0.654070932	0.9494664398
70	0.9494312909	0.6536209553	0.9494312909
71	0.9498355032	0.6529829864	0.9498355032
72	0.9498565925	0.6525329648	0.9498565925
73	0.9504541237	0.6518575703	0.9504541237
74	0.9505419959	0.6513179287	0.9505419959
75	0.9501940219	0.6508784131	0.9501940219
76	0.9500991199	0.6503270488	0.9500991199
77	0.9501237241	0.6497717585	0.9501237241
78	0.9501096645	0.6493098126	0.9501096645
79	0.9498038692	0.6488639576	0.9498038692
80	0.9498636223	0.6483477475	0.9498636223
81	0.9498601074	0.6478265151	0.9498601074
82	0.9498706521	0.6471410967	0.9498706521
83	0.9498284734	0.6467631569	0.9498284734
84	0.9499444648	0.6462508835	0.9499444648
85	0.9506087788	0.6455163914	0.9506087788
86	0.9506720468	0.6449213051	0.9506720468
87	0.9505455108	0.644536275	0.9505455108
88	0.9506474426	0.6440070382	0.9506474426
89	0.9507810084	0.643476108	0.9507810084
90	0.9507845232	0.6428632122	0.9507845232
91	0.9508688806	0.6423280613	0.9508688806
92	0.9512941822	0.6417047245	0.9512941822
93	0.9516773051	0.6411829219	0.9516773051
94	0.9515015606	0.6407326669	0.9515015606
95	0.9518108708	0.6400643812	0.9518108708
96	0.9518003262	0.6395453574	0.9518003262
97	0.9522080533	0.6388556164	0.9522080533
98	0.9519303771	0.6383543362	0.9519303771
99	0.9521377555	0.6378232063	0.9521377555
100	0.9522713213	0.637489702	0.9522713213
101	0.9521483002	0.6369813445	0.9521483002
102	0.952408402	0.6364484876	0.952408402
103	0.9523591935	0.6358857064	0.9523591935
104	0.9528758822	0.6352910551	0.9528758822
105	0.9526368698	0.6348929708	0.9526368698
106	0.9526720187	0.6343551007	0.9526720187
107	0.952756376	0.6338234671	0.952756376
108	0.9529672694	0.6331811552	0.9529672694
109	0.9531184096	0.6328107102	0.9531184096
110	0.9530164778	0.6322708423	0.9530164778
111	0.9527177122	0.6318496286	0.9527177122
112	0.9524962742	0.6313972559	0.9524962742
113	0.9522748362	0.6310225639	0.9522748362
114	0.9524927593	0.6305252114	0.9524927593
